clave,nombre,estado,municipio,latitud,longitud,pga_g,lluvia_diseno_100a_mm,poblacion_30km,percentil_sismico,percentil_hidrologico,percentil_poblacional,indice_prioridad
SNJSL,"San José, S.L.P.",San Luis Potosí,San Luis Potosí,22.150278,-101.054444,0.023721082398916522,45.75147364605382,1156063,18.571428571428573,14.523809523809526,92.38095238095238,54.464285714285715
IALGJ,"Ignacio Allende, Gto.",Guanajuato,San Miguel de Allende,20.848056,-100.825833,0.08171138179328055,51.45706610670513,448928,40.476190476190474,27.380952380952383,74.76190476190476,54.345238095238095
LANMC,"Los Ángeles, Mich.",Michoacán de Ocampo,José Sixto Verduzco,20.248889,-101.626667,0.14205097064876687,49.618858998252875,310173,60.952380952380956,24.047619047619047,65.71428571428571,54.107142857142854
CNSQT,"Constitución de 1917, Qro.",Querétaro,San Juan del Río,20.418611,-100.080278,0.11448172763126584,44.58310660670486,463391,53.333333333333336,10.238095238095237,76.19047619047619,53.98809523809524
CHLMC,"Constitución de Apatzingán, Jal.",Jalisco,Jilotlán de los Dolores,19.287778,-102.774167,0.39318767350566625,69.36019458711365,61116,88.57142857142857,60.0,32.857142857142854,53.57142857142857
CNTQT,"El Centenario, Qro.",Querétaro,Tequisquiapan,20.513333,-99.897778,0.10386609512655469,44.58310660670486,492672,50.476190476190474,10.238095238095237,76.66666666666667,53.51190476190476
LLAQT,"La Llave, Qro.",Querétaro,San Juan del Río,20.461944,-99.994722,0.10391694425873647,44.58310660670486,461536,50.95238095238095,10.238095238095237,75.71428571428571,53.1547619047619
PUCMC,"Pucuato, Mich.",Michoacán de Ocampo,Hidalgo,19.621389,-100.684167,0.22633658186213623,53.93762417497044,200654,75.47619047619048,35.0,50.476190476190474,52.85714285714286
CCHNL,"Cuchillo Solidaridad, N.L.",Nuevo León,China,25.711667,-99.276944,0.5713424003597855,132.2215443506015,17032,97.14285714285714,88.09523809523809,12.857142857142856,52.73809523809524
SABMC,"Sabaneta, Mich.",Michoacán de Ocampo,Hidalgo,19.622778,-100.669444,0.22633658186213623,53.93762417497044,196662,75.47619047619048,35.0,50.0,52.61904761904762
